Timestamp,Expense_Date,Select_Load,Expense_Owner,Expense_Category,Amount,Payment_Method,Payment_Status,Load_ID,Expense_ID
2025-02-22 8:59:11,5/5/2025,"LD053 | Richmond, VA → Albany, NY | Swift Haulage Ltd",Carrier,Detention / Layover,250,Card,Paid,LD053 ,EXP023
2025-02-23 19:22:53,5/9/2025,,Dispatcher,Software / Subscription,55,Transfer,Paid,,EXP024
2025-02-24 13:37:06,5/14/2025,"LD057 | Philadelphia, PA → Buffalo, NY | Eastern Cargo Movers",Carrier,Fuel Advance,930,Transfer,Unpaid,LD057 ,EXP025
2025-02-25 6:48:29,5/21/2025,,Dispatcher,Office Expense,160,Card,Paid,,EXP026
2025-02-26 17:55:40,5/28/2025,"LD061 | Boston, MA → Buffalo, NY | Swift Haulage Ltd",Carrier,Fuel Advance,870,Cash,Paid,LD061 ,EXP027
2025-02-27 10:03:58,6/3/2025,"LD063 | Baltimore, MD → Buffalo, NY | RapidMove Transport",Carrier,Toll,75,Transfer,Paid,LD063 ,EXP028
2025-02-28 22:26:15,6/7/2025,,Dispatcher,Salary / Wages,1900,Transfer,Paid,,EXP029
2025-03-02 9:41:33,6/12/2025,"LD067 | Philadelphia, PA → Jersey City, NJ | BlueStar Freight Ltd",Carrier,Maintenance / Repair,480,Card,Paid,LD067 ,EXP030
2025-03-05 14:56:07,6/18/2025,,Dispatcher,Office Expense,135,Transfer,Unpaid,,EXP031
2025-03-08 18:20:49,6/25/2025,"LD071 | Boston, MA → Jersey City, NJ | Swift Haulage Ltd",Carrier,Fuel Advance,900,Cash,Paid,LD071 ,EXP032
2025-03-12 7:34:21,7/2/2025,"LD073 | Baltimore, MD → Jersey City, NJ | RapidMove Transport",Carrier,Lumper,110,Transfer,Paid,LD073 ,EXP033
2025-03-16 20:15:02,7/8/2025,,Dispatcher,Internet,65,Card,Paid,,EXP034
2025-03-20 11:09:38,7/12/2025,"LD077 | Newark, NJ → Pittsburgh, PA | BlueStar Freight Ltd",Carrier,Fuel Advance,940,Transfer,Paid,LD077 ,EXP035
2025-03-25 16:43:27,7/17/2025,,Dispatcher,Marketing,120,Transfer,Unpaid,,EXP036
2025-04-02 8:17:55,7/23/2025,"LD081 | Hartford, CT → Pittsburgh, PA | Eastern Cargo Movers",Carrier,Fuel Advance,860,Cash,Paid,LD081 ,EXP037
2025-04-09 19:36:41,7/30/2025,"LD083 | Boston, MA → Pittsburgh, PA | BlueStar Freight Ltd",Carrier,Toll,68,Card,Paid,LD083 ,EXP038
2025-04-15 13:28:10,8/5/2025,,Dispatcher,Office Expense,155,Transfer,Paid,,EXP039
2025-04-22 21:04:36,8/9/2025,"LD087 | Richmond, VA → Pittsburgh, PA | RapidMove Transport",Carrier,Maintenance / Repair,500,Transfer,Paid,LD087 ,EXP040
2025-05-01 10:52:18,8/14/2025,,Dispatcher,Salary / Wages,2050,Card,Paid,,EXP041
2025-05-10 17:13:59,8/20/2025,"LD091 | Newark, NJ → New Haven, CT | BlueStar Freight Ltd",Carrier,Fuel Advance,890,Cash,Unpaid,LD091 ,EXP042
2025-05-18 7:45:26,8/27/2025,"LD093 | Philadelphia, PA → New Haven, CT | Eastern Cargo Movers",Carrier,Detention / Layover,270,Transfer,Paid,LD093 ,EXP043
2025-06-03 14:22:47,9/3/2025,,Dispatcher,Software / Subscription,50,Transfer,Paid,,EXP044
2025-06-20 18:51:34,9/9/2025,"LD097 | Richmond, VA → New Haven, CT | Swift Haulage Ltd",Carrier,Fuel Advance,920,Card,Paid,LD097 ,EXP045
2025-07-05 9:16:03,9/13/2025,,Dispatcher,Office Expense,145,Transfer,Paid,,EXP046
2025-07-21 20:33:12,9/18/2025,"LD101 | Philadelphia, PA → Worcester, MA | BlueStar Freight Ltd",Carrier,Fuel Advance,880,Cash,Unpaid,LD101 ,EXP047
2025-08-11 11:58:46,9/24/2025,"LD103 | Hartford, CT → Worcester, MA | Eastern Cargo Movers",Carrier,Toll,72,Transfer,Paid,LD103 ,EXP048
2025-09-02 16:27:05,10/1/2025,,Dispatcher,Salary / Wages,1950,Card,Paid,,EXP049
2025-09-25 8:36:51,10/7/2025,"LD107 | Richmond, VA → Worcester, MA | Swift Haulage Ltd",Carrier,Maintenance / Repair,460,Transfer,Paid,LD107 ,EXP050
2025-10-14 19:49:23,2025-10-11,,Dispatcher,Office Expense,150,Transfer,Paid,,EXP051
2025-11-06 13:05:17,2025-10-16,"LD112 | Baltimore, MD → Philadelphia, PA | Swift Haulage Ltd",Carrier,Fuel Advance,910,Cash,Paid,LD112 ,EXP052
2025-11-28 21:17:40,2025-10-22,"LD114 | Richmond, VA → Philadelphia, PA | Unity Haulage Services",Carrier,Insurance,300,Card,Unpaid,LD114 ,EXP053
2026-01-07 18:09:52,2025-11-05,"LD116 | Richmond, VA → Hartford, CT | Northern Freight Logistics",Carrier,Fuel Advance,940,Transfer,Paid,LD116 ,EXP054
2026-01-21 7:53:36,2025-11-12,,Dispatcher,Marketing,125,Card,Paid,,EXP055
2026-02-02 15:31:14,2025-11-19,"LD121 | Newark, NJ → Richmond, VA | Metro Haul Nigeria Ltd",Carrier,Fuel Advance,870,Cash,Paid,LD121 ,EXP056
2026-02-10 20:26:48,2025-12-03,"LD124 | Hartford, CT → Newark, NJ | Swift Haulage Ltd",Carrier,Toll,70,Transfer,Unpaid,LD124 ,EXP057
2026-02-18 9:42:05,2026-01-08,,Dispatcher,Office Expense,160,Transfer,Paid,,EXP058
2026-02-25 17:58:29,2026-02-14,"LD132 | Buffalo, NY → Philadelphia, PA | Swift Haulage Ltd",Carrier,Maintenance / Repair,520,Card,Paid,LD132 ,EXP059
2026-02-27 17:58:29,2026-02-27,,Dispatcher,Marketing,150,,Paid,,EXP060
