Timestamp,Select Load,Load_ID ,Deduction Date,Deduction Source,Deduction Type,Deduction Amount,Load ID
2025-02-27 17:03:00,"LD033 | Boston, MA → Hartford, CT | Eastern Cargo Movers",LD033,2025-05-10,Broker,Detention / Layover,8000,
2025-03-02 8:22:00,"LD035 | Baltimore, MD → Hartford, CT | BlueStar Freight Ltd",LD035,2025-05-10,Driver,Traffic Fine,2800,
2025-03-06 12:45:00,"LD037 | Richmond, VA → Hartford, CT | RapidMove Transport",LD037,2025-05-18,Driver,Cargo Damage,9000,
2025-03-09 19:10:00,"LD039 | Baltimore, MD → Boston, MA | Swift Haulage Ltd",LD039,2025-05-26,Driver,Vehicle Misuse,7000,
2025-03-12 7:36:00,"LD041 | Richmond, VA → Boston, MA | Metro Haul Nigeria Ltd",LD041,2025-06-02,Driver,Advance Recovery,13000,
2025-03-16 13:58:00,"LD042 | Albany, NY → Newark, NJ | SafeWay Carriers",LD042,2025-06-09,Broker,Payment Dispute,7500,
2025-03-19 10:27:00,"LD044 | Albany, NY → Philadelphia, PA | Apex Cargo Ltd",LD044,2025-06-09,Driver,Late Delivery,4200,
2025-03-23 16:11:00,"LD046 | Albany, NY → Hartford, CT | Unity Haulage Services",LD046,2025-06-17,Driver,Fuel Misuse,5200,
2025-03-27 9:05:00,"LD048 | Albany, NY → Boston, MA | Northern Freight Logistics",LD048,2025-06-25,Driver,Traffic Fine,3100,
2025-03-30 18:34:00,"LD050 | Albany, NY → Baltimore, MD | Infinity Haulage",LD050,2025-07-01,Driver,Cargo Damage,8700,
2025-04-03 7:49:00,"LD052 | Albany, NY → Richmond, VA | Apex Cargo Ltd",LD052,2025-07-08,Broker,Broker Fee Deduction,10000,
2025-04-07 14:16:00,"LD054 | Buffalo, NY → Newark, NJ | Northern Freight Logistics",LD054,2025-07-08,Driver,Vehicle Misuse,6800,
2025-04-10 11:32:00,"LD056 | Buffalo, NY → Philadelphia, PA | SafeWay Carriers",LD056,2025-07-16,Driver,Documentation Issues,2400,
2025-04-14 17:28:00,"LD058 | Buffalo, NY → Hartford, CT | Unity Haulage Services",LD058,2025-07-24,Driver,Advance Recovery,14000,
2025-04-18 8:44:00,"LD060 | Buffalo, NY → Boston, MA | Apex Cargo Ltd",LD060,2025-08-02,Driver,Fuel Misuse,5300,
2025-04-22 15:09:00,"LD062 | Buffalo, NY → Baltimore, MD | Northern Freight Logistics",LD062,2025-08-09,Broker,Load Cancellation Penalty,11000,
2025-04-26 10:53:00,"LD064 | Buffalo, NY → Richmond, VA | Infinity Haulage",LD064,2025-08-09,Driver,Traffic Fine,2600,
2025-04-30 19:21:00,"LD066 | Jersey City, NJ → Philadelphia, PA | SafeWay Carriers",LD066,2025-08-17,Driver,Cargo Damage,9200,
2025-05-04 7:15:00,"LD068 | Jersey City, NJ → Hartford, CT | Apex Cargo Ltd",LD068,2025-08-25,Driver,Vehicle Misuse,7100,
2025-05-08 13:47:00,"LD070 | Jersey City, NJ → Boston, MA | Unity Haulage Services",LD070,2025-09-03,Driver,Late Delivery,4800,
2025-05-12 9:38:00,"LD072 | Jersey City, NJ → Baltimore, MD | Northern Freight Logistics",LD072,2025-09-10,Broker,Detention / Layover,8500,
2025-05-16 18:02:00,"LD074 | Jersey City, NJ → Richmond, VA | Infinity Haulage",LD074,2025-09-10,Driver,Fuel Misuse,5100,
2025-05-20 11:26:00,"LD076 | Pittsburgh, PA → Newark, NJ | SafeWay Carriers",LD076,2025-09-18,Driver,Traffic Fine,2900,
2025-05-24 16:55:00,"LD078 | Pittsburgh, PA → New York, NY | Apex Cargo Ltd",LD078,2025-09-26,Driver,Cargo Damage,8800,
2025-05-28 8:41:00,"LD080 | Pittsburgh, PA → Hartford, CT | Northern Freight Logistics",LD080,2025-10-02,Driver,Vehicle Misuse,6400,
2025-06-01 14:13:00,"LD082 | Pittsburgh, PA → Boston, MA | Unity Haulage Services",LD082,2025-10-09,Broker,Payment Dispute,7600,
2025-06-05 10:29:00,"LD084 | Pittsburgh, PA → Baltimore, MD | Apex Cargo Ltd",LD084,2025-10-09,Driver,Documentation Issues,2300,
2025-06-09 19:06:00,"LD086 | Pittsburgh, PA → Richmond, VA | SafeWay Carriers",LD086,2025-10-17,Driver,Advance Recovery,13500,
2025-06-13 7:57:00,"LD088 | New Haven, CT → Boston, MA | Infinity Haulage",LD088,2025-10-25,Driver,Fuel Misuse,5600,
2025-06-17 15:20:00,"LD090 | New Haven, CT → Newark, NJ | Northern Freight Logistics",LD090,2025-11-01,Driver,Traffic Fine,3000,
2025-06-21 12:11:00,"LD092 | New Haven, CT → Philadelphia, PA | Apex Cargo Ltd",LD092,2025-11-08,Broker,Broker Fee Deduction,9500,
2025-06-25 18:48:00,"LD094 | New Haven, CT → Baltimore, MD | Unity Haulage Services",LD094,2025-11-08,Driver,Cargo Damage,8200,
2025-07-01 9:34:00,"LD096 | New Haven, CT → Richmond, VA | SafeWay Carriers",LD096,2025-11-16,Driver,Vehicle Misuse,6700,
2025-07-06 16:02:00,"LD098 | Worcester, MA → Newark, NJ | Northern Freight Logistics",LD098,2025-11-24,Driver,Late Delivery,4300,
2025-07-10 11:18:00,"LD100 | Worcester, MA → Philadelphia, PA | Infinity Haulage",LD100,2025-12-02,Driver,Advance Recovery,12500,
2025-07-15 7:59:00,"LD102 | Worcester, MA → Hartford, CT | Apex Cargo Ltd",LD102,2025-12-09,Broker,Load Cancellation Penalty,11500,
2025-07-20 14:27:00,"LD104 | Worcester, MA → Baltimore, MD | Unity Haulage Services",LD104,2025-12-09,Driver,Fuel Misuse,5400,
2025-08-02 10:41:00,"LD106 | Worcester, MA → Richmond, VA | SafeWay Carriers",LD106,2025-12-17,Driver,Traffic Fine,3200,
2025-08-15 18:09:00,"LD108 | Baltimore, MD → Richmond, VA | Northern Freight Logistics",LD108,2025-12-24,Driver,Cargo Damage,9100,
2025-09-03 7:52:00,"LD109 | Richmond, VA → Baltimore, MD | BlueStar Freight Ltd",LD109,2026-01-03,Driver,Vehicle Misuse,6900,
2025-09-21 13:36:00,"LD111 | Newark, NJ → Baltimore, MD | Northern Freight Logistics",LD111,2026-01-10,Broker,Detention / Layover,7800,
2025-10-05 9:58:00,"LD113 | Philadelphia, PA → Baltimore, MD | BlueStar Freight Ltd",LD113,2026-01-10,Driver,Late Delivery,4700,
2025-10-22 17:44:00,"LD115 | Philadelphia, PA → Richmond, VA | SafeWay Carriers",LD115,2026-01-18,Driver,Fuel Misuse,5200,
2025-11-04 8:23:00,"LD117 | Hartford, CT → Richmond, VA | Infinity Haulage",LD117,2026-01-26,Driver,Traffic Fine,2800,
2025-11-19 15:11:00,"LD119 | Boston, MA → Richmond, VA | SafeWay Carriers",LD119,2026-02-02,Driver,Cargo Damage,8600,
2025-12-02 10:07:00,"LD120 | Richmond, VA → Newark, NJ | Prime Wheels Logistics",LD120,2026-02-09,Broker,Payment Dispute,7200,
2025-12-18 18:39:00,"LD122 | Baltimore, MD → Boston, MA | Northern Freight Logistics",LD122,2026-02-09,Driver,Vehicle Misuse,8000,
2026-01-06 9:12:00,"LD123 | Boston, MA → Baltimore, MD | Apex Cargo Ltd",LD123,2026-02-15,Driver,Documentation Issues,6600,
2026-01-20 14:55:00,"LD126 | Philadelphia, PA → Boston, MA | BlueStar Freight Ltd",LD126,2026-02-20,Driver,Advance Recovery,2500,
2026-02-03 11:28:00,"LD129 | Pittsburgh, PA → New York, NY | Unity Haulage Services",LD129,2026-02-25,Driver,Fuel Misuse,13800,
2026-02-17 16:43:00,"LD131 | Boston, MA → Albany, NY | Infinity Haulage",LD131,2026-02-27,Broker,Traffic Fine,5800,
,"LD134 | Hartford, CT → Baltimore, MD | TransNation Logistics",LD134,,,,,
,"LD136 | Newark, NJ → Boston, MA | BlueStar Freight Ltd",LD136,,,,,
,"LD138 | New York, NY → Baltimore, MD | Metro Haul Nigeria Ltd",LD138,,,,,
,"LD140 | Philadelphia, PA → Hartford, CT | Swift Haulage Ltd",LD140,,,,,
